Stations,River,Lat,Long,CrR,NiR,CuR,AsR,CdR,PbR,MR,FeR,RI
S1,Dhaleshwari,23.91026,90.229845,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S2,Dhaleshwari,23.858227,90.240038,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S3,Dhaleshwari,23.802571,90.24539,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S4,Dhaleshwari,23.754298,90.246581,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S5,Dhaleshwari,23.702157,90.277077,0.32375,0.12975,1.16875,0.07325,0.5325,0.6174999999999999,0.56075,1.5992499999999998,1.1431834559865932
S6,Dhaleshwari,23.657826,90.317763,0.32375,0.12975,1.16875,0.07325,0.5325,0.6174999999999999,0.56075,1.5992499999999998,1.1431834559865932
S7,Dhaleshwari,23.628,90.388647,0.5670000000000001,0.6196666666666667,0.8663333333333334,0.1106666666666666,0.1226666666666666,1.5586666666666666,0.4963333333333333,2.2256666666666667,0.7988218407148335
S8,Turag,23.877666,90.350573,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S9,Turag,23.826986,90.342201,0.32375,0.12975,1.16875,0.07325,0.5325,0.6174999999999999,0.56075,1.5992499999999998,1.1431834559865932
S10,Turag,23.792572,90.339601,0.5670000000000001,0.6196666666666667,0.8663333333333334,0.1106666666666666,0.1226666666666666,1.5586666666666666,0.4963333333333333,2.2256666666666667,0.7988218407148335
S11,Buriganga,23.716059,90.359274,0.029,0.089,0.114,0.057,0.005,0.119,0.309,1.002,0.1239860403820899
S12,Buriganga,23.664709,90.451701,1.133,0.451,0.633,0.161,0.193,2.144,0.442,2.456,0.8975931028754439
S13,Balu,23.7640048,90.4825378,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S14,Balu,23.808202,90.484506,0.32375,0.12975,1.16875,0.07325,0.5325,0.6174999999999999,0.56075,1.5992499999999998,1.1431834559865932
S15,Shitalakshya,23.83271,90.548478,0.0635,0.301,0.6950000000000001,0.1055,0.005,0.32,0.423,1.0865,0.319789990915603
S16,Shitalakshya,23.715818,90.504423,0.32375,0.12975,1.16875,0.07325,0.5325,0.6174999999999999,0.56075,1.5992499999999998,1.1431834559865932
S17,Shitalakshya,23.62842,90.514128,0.5670000000000001,0.6196666666666667,0.8663333333333334,0.1106666666666666,0.1226666666666666,1.5586666666666666,0.4963333333333333,2.2256666666666667,0.7988218407148335
Interp_R_1,Unknown,23.61274469982163,90.43060852430816,0.5933554386602375,0.455068064256012,0.8075938695244619,0.11382725480744448,0.18451541215673675,1.3796024822828543,0.4782890662125375,2.0298610271569903,0.8002689415953299
Interp_R_2,Unknown,23.66377289761991,90.11406230846896,0.2462216637950015,0.27901714539713707,0.8331783776488655,0.09466129014677245,0.1970041349817752,0.624838990556497,0.4707642990386203,1.4399751172248585,0.6553146799920392
Interp_R_3,Unknown,23.637573201575652,90.43220335875688,0.7247673311978324,0.4415169380840172,0.7579467380500826,0.1253312279550603,0.18996830835394293,1.549347480848449,0.46747698339113475,2.1167336423491134,0.8213098730142595
Interp_R_4,Unknown,23.834252994638916,90.34576902211585,0.3188276065053383,0.15622835233601448,1.1283524495520225,0.07630371371004599,0.4880067645227788,0.6355083294996257,0.5501174711474781,1.5935943002643174,1.0837692086101276
Interp_R_5,Unknown,23.67071966636189,90.02328345724526,0.2470682481582116,0.2873511257798703,0.8215391978643203,0.09588914450243176,0.18366204518803195,0.6337669613081741,0.46765149688024155,1.4400906541338911,0.6382398958282194
Interp_R_6,Unknown,23.77681852243475,90.5139872385986,0.21592189811337828,0.2502653286389679,0.8750619055312359,0.09399434964816326,0.21947734623107992,0.5387578145051877,0.47833738946708715,1.3734114499490395,0.6728549289110556
Interp_R_7,Unknown,23.74106803843212,90.12709234600068,0.2059517944077741,0.28326531608131683,0.805009197866809,0.0967242854048909,0.1571184854246282,0.5577639946474482,0.46093218903636757,1.3641696351765904,0.5850410792183708
Interp_R_8,Unknown,23.65493746951183,90.33008134844432,0.3264013019325684,0.15743301403128587,1.106964360618064,0.07604630138878106,0.4820963852330883,0.6503976162346371,0.5457931349984974,1.6036883248143619,1.0742761003950672
Interp_R_9,Unknown,23.813285073043964,90.112840926056,0.18384712695849495,0.29056997233994325,0.7829497220049546,0.09862911442840795,0.1270578327046964,0.5253236663812848,0.4537069608068033,1.3216612944121098,0.5359047571854493
Interp_R_10,Unknown,23.6523007269332,90.27156734782558,0.3054404867708828,0.20663520048730355,0.9895812421529936,0.08271654675431442,0.37185686407831997,0.6615223940788033,0.515050019254021,1.5593983297890648,0.9140861437470008
Interp_R_11,Unknown,23.91962318972518,90.5889533087124,0.22180617845836134,0.2827276849745235,0.8221922091113014,0.09748478393147825,0.1696543227088007,0.5813627353241356,0.46535077943974656,1.3854019904824542,0.6092305630673721
Interp_R_12,Unknown,23.993396304083365,90.21672397325857,0.1554523844583558,0.2956531656628311,0.7621167066167757,0.10065183798757196,0.09548868844491006,0.479201206934457,0.4462840410147033,1.2664655310997313,0.4821146053105855
Interp_R_13,Unknown,23.799430311171633,90.53074079421464,0.19918467189098937,0.25592746217116974,0.856627476895083,0.09506706454954954,0.19711659583870503,0.5153731251920985,0.47267902032996245,1.343668932179916,0.6361245907185459
Interp_R_14,Unknown,23.97277094953435,90.21627753012028,0.13780170921781634,0.2966147632384286,0.7497404868384763,0.10153143545211386,0.07855118963702959,0.448696045394979,0.44195854559007325,1.2323153632379533,0.4516441964584919
Interp_R_15,Unknown,23.977335716596485,90.21541520271953,0.14217162652228302,0.29637539675188257,0.7528073535736375,0.10131131404980183,0.08275438037956846,0.45625316489296214,0.4430313772457033,1.2407860861296756,0.4592026986857794
Interp_R_16,Unknown,23.799189034596115,90.30615535952512,0.324065885653578,0.3616190718387372,0.8606549441811204,0.09717924505830013,0.19226873302676642,0.8550745492297614,0.48221598280143735,1.6444870894069044,0.712873319799684
Interp_R_17,Unknown,24.001910156574773,90.08128629682255,0.1931117793858425,0.29422904100340824,0.7843418639651683,0.09895664136537319,0.12881824216355156,0.5446131083022868,0.45446306940347514,1.33790162523972,0.5426589228039933
Interp_R_18,Unknown,23.91473991373703,90.56220620626468,0.21370701081048638,0.2799778038548796,0.8221206868975494,0.0973435503982478,0.1679020816808159,0.5646885374069875,0.4648836160879043,1.3709522229596667,0.603388789891147
Interp_R_19,Unknown,23.732604473462768,90.35365486546183,0.12474513368948402,0.15789671040577294,0.33972612904209587,0.06826590928881622,0.07465534845894618,0.3372041206588646,0.3618869383848001,1.1958999385293787,0.3158016842433291
Interp_R_20,Unknown,23.799161989884755,90.30608905838798,0.3236891291907018,0.3614204968725089,0.8604313823042028,0.09717929803963692,0.19210389025163288,0.8541890185313412,0.4821379435733433,1.6436347957928101,0.7124076472756528
Interp_R_21,Unknown,23.801715419497015,90.53289678974468,0.18820120342369173,0.260550432555169,0.8418060266256927,0.09603689535615195,0.17985355782581883,0.5004871300700063,0.4682113733554439,1.3227680883740442,0.6082231853724107
Interp_R_22,Unknown,24.1001144404421,90.36870159211306,0.22437797193639955,0.29128095403330023,0.8104825449142175,0.09754480721040751,0.16086911314195923,0.5966270358881962,0.4629830816990945,1.3967271353102098,0.599597700998044
Interp_R_23,Unknown,23.816622456479212,90.10334916624168,0.18697899564982562,0.29065330399138944,0.7845682772587316,0.09852777770630654,0.1294872685831429,0.530918521723196,0.4543170375724232,1.3275141970211097,0.540499059840966
Interp_R_24,Unknown,23.79383373328925,90.09341709216922,0.19708762633779625,0.28912180001062604,0.7920883640797348,0.09791615221224585,0.14026066623370573,0.5474050702599838,0.4569295040770066,1.3467457858912337,0.5591025517819254
Interp_R_25,Unknown,23.706580710760168,90.21764339627047,0.21659427211994564,0.25282127401990007,0.8614232577186616,0.09230752666080634,0.21801448966198267,0.5478087636809675,0.4762474113808033,1.386732899355518,0.6704967308483684
